Date,Int,Pressure,PumpState
2017-08-13 00:27:40.050,0,1.73078287,
2017-08-13 02:10:00.500,0,1.5433722,
2017-08-13 03:01:49.500,0,,16.0
2017-08-13 03:02:08.000,0,1.37283094,
2017-08-13 03:02:15.500,0,,32.0
2017-08-13 03:02:58.000,0,1.5433722,
2017-08-13 03:35:33.590,0,,1.0
2017-08-13 03:35:33.880,0,1368.38416,
2017-08-13 03:35:34.170,0,9133.9434,
2017-08-13 03:35:43.640,0,7000.50815,
2017-08-13 03:35:43.920,0,5636.94206,
2017-08-13 03:35:44.230,0,4033.88017,
2017-08-13 03:35:44.530,0,3357.83421,
2017-08-13 03:35:44.840,0,2550.21155,
2017-08-13 03:35:45.160,0,1927.89432,
2017-08-13 03:35:45.450,0,1709.11064,
2017-08-13 03:35:45.580,0,1533.01085,
2017-08-13 03:35:45.880,0,1389.65272,
2017-08-13 03:35:46.170,0,1157.93434,
2017-08-13 03:35:46.480,0,1006.48811,
2017-08-13 03:35:46.830,0,866.453207,
2017-08-13 03:35:47.110,0,752.608963,
2017-08-13 03:35:47.420,0,676.649828,
2017-08-13 03:35:47.630,0,630.091342,
2017-08-13 03:35:47.940,0,539.519786,
2017-08-13 03:35:48.230,0,451.781278,
2017-08-13 03:35:48.530,0,371.527394,
2017-08-13 03:35:48.840,0,306.527756,
2017-08-13 03:35:49.140,0,251.50997,
2017-08-13 03:35:49.450,0,212.284084,
2017-08-13 03:35:49.580,0,199.837459,
2017-08-13 03:35:49.890,0,166.120344,
2017-08-13 03:35:50.170,0,136.066041,
2017-08-13 03:35:50.470,0,121.699498,
2017-08-13 03:35:50.590,0,110.722678,
2017-08-13 03:35:50.880,0,93.0566678,
2017-08-13 03:35:51.190,0,84.3115309,
2017-08-13 03:35:51.440,0,77.8226216,
2017-08-13 03:35:51.590,0,71.7586577,
2017-08-13 03:35:51.860,0,66.096783,
2017-08-13 03:35:52.110,0,57.6977555,
2017-08-13 03:35:52.410,0,54.1351964,
2017-08-13 03:35:52.840,0,49.6740655,
2017-08-13 03:35:53.130,0,46.0279338,
2017-08-13 03:35:53.380,0,42.6092855,
2017-08-13 03:35:53.640,0,39.8512336,
2017-08-13 03:35:53.890,0,37.2446865,
2017-08-13 03:35:54.190,0,151.83293,
2017-08-13 03:35:54.500,0,215.958006,
2017-08-13 03:35:54.580,0,231.195167,
2017-08-13 03:35:54.890,0,257.891019,
2017-08-13 03:35:55.200,0,271.065418,
2017-08-13 03:35:56.160,0,255.748948,
2017-08-13 03:35:56.440,0,239.147885,
2017-08-13 03:35:56.640,0,221.569397,
2017-08-13 03:35:57.000,0,183.127061,
2017-08-13 03:35:57.190,0,164.642554,
2017-08-13 03:35:57.390,0,147.754062,
2017-08-13 03:35:57.480,0,139.872324,
2017-08-13 03:35:57.700,0,127.522116,
2017-08-13 03:35:58.000,0,118.314475,
2017-08-13 03:35:58.300,0,100.590437,
2017-08-13 03:35:58.610,0,93.9716108,
2017-08-13 03:35:58.920,0,81.0124913,
2017-08-13 03:35:59.440,0,71.0293923,
2017-08-13 03:35:59.920,0,66.096783,
2017-08-13 03:36:00.190,0,61.4552431,
2017-08-13 03:36:00.450,0,57.6977555,
2017-08-13 03:36:00.890,0,54.1351964,
2017-08-13 03:36:01.160,0,50.7592843,
2017-08-13 03:36:01.420,0,47.5620108,
2017-08-13 03:36:01.940,0,44.0473231,
2017-08-13 03:36:02.450,0,40.7534067,
2017-08-13 03:36:02.920,0,38.0971275,
2017-08-13 03:36:03.440,0,35.5877805,
2017-08-13 03:36:04.160,0,33.2187062,
2017-08-13 03:36:04.890,0,30.9834789,
2017-08-13 03:36:05.910,0,28.8759011,
2017-08-13 03:36:06.910,0,26.8899978,
2017-08-13 03:36:07.970,0,25.0200108,
2017-08-13 03:36:09.390,0,23.260393,
2017-08-13 03:36:11.390,0,21.6058033,
2017-08-13 03:36:13.380,0,20.0511009,
2017-08-13 03:36:15.890,0,18.59134,
2017-08-13 03:36:18.390,0,17.2217651,
2017-08-13 03:36:21.390,0,15.9378052,
2017-08-13 03:36:24.690,0,14.735069,
2017-08-13 03:36:28.670,0,13.6093401,
2017-08-13 03:36:33.140,0,12.5565718,
2017-08-13 03:36:37.890,0,11.5728827,
2017-08-13 03:36:43.140,0,10.6545513,
2017-08-13 03:36:49.410,0,9.79801212,
2017-08-13 03:36:56.880,0,8.99985048,
2017-08-13 03:37:06.880,0,8.25679833,
2017-08-13 03:37:18.130,0,7.56572971,
2017-08-13 03:37:18.630,0,,2.0
2017-08-13 03:37:24.530,0,6.9236564,
2017-08-13 03:37:25.250,0,6.32772367,
